hashtag,tweet_id
MyFarewellWordsWouldBe,8.19202212136108e+17
Trump,7.774849014781256e+17
WomansMarch,8.231548465849958e+17
debates,7.804602548532634e+17
single,8.010643623750533e+17
Scranton,7.961313298930893e+17
makemusicreligious,8.104710223444746e+17
feelthebern,7.773178263947264e+17
DemExit,7.773178263947264e+17
Trump,7.773178263947264e+17
Blacks4Trump,7.773178263947264e+17
MSM,7.773178263947264e+17
WakeUpAmerica,7.775072271082004e+17
Debate,7.889091081959178e+17
debatenight,7.889091081959178e+17
IDontNeedACostumeBecause,7.912831219708314e+17
TrumpRiots,7.979117245318431e+17
Crooked,7.913602917454397e+17
Listen2,8.586076753151918e+17
makemusicreligious,8.10473500943192e+17
Congress,8.154766250432922e+17
Hillary,7.775727132800041e+17
GeorgeMichael,8.133528964986634e+17
news,6.14549033034584e+17
PodestaEmails19,7.911977116472689e+17
MakeAmericaGreatAgain,8.108343843875021e+17
TrumpinDetroit,7.722247206619136e+17
TrumpTrain,7.77326563171926e+17
maga,7.77326563171926e+17
MakeMeHateYouInOnePhrase,7.880130627375186e+17
SaturdayNightFunny,7.951108545681449e+17
JustTweetin,7.951108545681449e+17
PrisonBitch,7.951108545681449e+17
IDontNeedACostumeBecause,7.912827311456952e+17
p2,8.483410119819264e+17
maga,7.960614314017751e+17
HillarysEmails,7.922901664046817e+17
TheFirst100DaysToDoList,8.23546345860563e+17
IslamIsTheProblem,7.122774884755128e+17
ferguson,5.930774491533844e+17
GirlCode,5.561427659442217e+17
CancelPlansIn5Words,7.99895460412584e+17
ItsUnacceptableTo,7.989166108535194e+17
ThingsMoreTrustedThanHillary,7.805859837712343e+17
SuperOldHeroes,8.375953603946865e+17
Aimpoint,6.959171912758723e+17
maga,7.770764124444672e+17
BuildTheWall,7.770764124444672e+17
Politics,7.762605405113672e+17
BoycottStarbucks,7.180353639866081e+17
vegan,8.204812313558057e+17
tcot,7.908260573394616e+17
Politics,7.6348278198895e+17
WhatIWantForChristmasIn4Words,8.017919723987968e+17
news,6.209740450524242e+17
TERMLIMITS,7.018408623644385e+17
TrumpIsRight,7.002520524887818e+17
CCOT,6.95605200984404e+17
StonedComicBooks,8.549819576539013e+17
ThingsIWouldntThankYouFor,8.013253248395837e+17
Assange,7.948808909838705e+17
CongresidentLetter,5.756989224939766e+17
Ebola,8.220334821636219e+17
DemsInPhilly,7.580002043983913e+17
DNCConvention,7.580002043983913e+17
DemConvention,7.580002043983913e+17
BeforeTwitterI,5.784576926975959e+17
Debate,7.852696905244303e+17
ISISwatchingyou,5.688243579313889e+17
AddABandToATVShow,8.26044781151273e+17
sp,8.158652926142054e+17
poorbernie,7.881438426168279e+17
ChildrenThinkThat,7.65183162469249e+17
FakeVotingFacts,7.953452208628859e+17
Iran,5.879389944969216e+17
ICEM,8.117892574677197e+17
DontTellAnyoneBut,7.633999579277271e+17
RedneckAMovie,8.242042301395149e+17
nowplaying,7.891645773132595e+17
tcot,7.662179016531026e+17
RuinADinnerInOnePhrase,7.836835720665088e+17
PodestaEmails,7.956194430323343e+17
MakeDCListen,7.778955622679839e+17
CCOT,7.778955622679839e+17
tcot,7.778955622679839e+17
Conservatives,7.778955622679839e+17
teaparty,7.778955622679839e+17
Politics,7.74330797138391e+17
WomensEqualityDay,7.692541518092984e+17
MyBestHolidayMemory,8.090420675822879e+17
OscarHasNoColor,7.041449109167227e+17
noDAPL,7.881791396395786e+17
TopVideo,7.886201406655939e+17
Syrien,7.636630519544586e+17
PipelineMasters,5.839779368956518e+17
GameShowHostPickUpLines,7.727530844433981e+17
news,7.564474666191503e+17
IHaveADreamThat,8.209952684222751e+17
LostIn3Words,7.803500610582036e+17
ThingsInventedWhileHigh,7.727232396636283e+17
local,5.968824435938796e+17
SextingWentWrongWhen,7.70255816922239e+17
IGetDepressedWhen,7.71057890681557e+17
ChildrenThinkThat,7.651836631515136e+17
MerkelMussBleiben,7.561183277691003e+17
Ohio,7.841741802666844e+17
MN,8.032049239996129e+17
NoCyberCensorship,7.087200004508713e+17
Politics,7.717635362382275e+17
IowaCaucus,6.955660183375012e+17
AddAMovieRuinAMovie,7.886656655027692e+17
AddCartoonsToHistory,8.927172026792673e+17
MuslimInvasion,7.840777951021875e+17
USA,7.840777951021875e+17
SickHillary,7.840777951021875e+17
Merkel,7.840777951021875e+17
HillaryClinton,7.840777951021875e+17
PodestaEmails18,7.909519036435251e+17
HillaryClinton,7.909519036435251e+17
Politics,7.585765679246459e+17
StoneTear,7.793170305079091e+17
imwithher,7.710440469491343e+17
fakenews,8.203459057904845e+17
ItsMuchBetterTo,7.627181809345044e+17
SearchesGoogleIsAshamedOf,6.021869144777032e+17
IfIHadABodyDouble,7.760644767517573e+17
beingmaryjane,8.190343002974659e+17
HowToAvoidPoliticsAtDinner,8.013456209005322e+17
ThingsDoneByMistake,8.362299345615135e+17
tcot,8.363940518847078e+17
AthleticsTVShows,7.651040139938488e+17
MySaturdayNightIn4Words,8.104771315369902e+17
KhizrKhan,7.597334944947978e+17
IsQuiteAChallenge,7.728139450190397e+17
MerkelMussBleiben,7.560808806202778e+17
ClintonScandals,7.816035340474122e+17
tcot,6.966841745105961e+17
Guns4NY,6.72824386047443e+17
MakeAMovieRude,5.815053500644311e+17
AthleticsTVShows,7.651272060454912e+17
Sinai,7.031353492712325e+17
OCare,7.992263967656059e+17
ChristmasAftermath,8.133922148019159e+17
ObamaFarewell,8.190067756430459e+17
TeamUP,8.378297573161615e+17
20,8.555500196250747e+17
SanJose,6.22601867780948e+17
USFA,8.207240359611269e+17
Evolve,5.898173004900065e+17
DickFlicks,8.364840515485901e+17
PotusLastTweet,8.217427175458898e+17
RejectedDebateTopics,7.887547511691346e+17
SometimesTwitterMakesMe,8.118625514788577e+17
